Name,Image,Team,Batting_Style,Bowling_Style,Playing_Role
Mohsin Khan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoPx3ZmKxiL9Y97dLpAPyndo3E6dyerq1kb4jJ6dH61BL4toRdOXzuv3MAIw&s,Lucknow Super Giants ,Left hand Bat,Left arm Medium fast,Bowler
Naveen-ul-Haq,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHf-TF5PXaFmcztPNPddZvXYb0VAAwzIqIGOLEhyw70VOmtJu4Q8AxEM-jXFc&s,Lucknow Super Giants ,Right hand Bat,Right arm Medium fast,Bowler
Nicholas Pooran,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQL7AyuJNY6ZxthXFJJuWUYWg67i5xBrDnc1L-nSfw5o57hiEu_K3BkfeJQars&s,Lucknow Super Giants ,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Ravi Bishnoi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTip2b10dlnVFZ5sSOYzdTO452--AHeqWMxNKFUEksFPw_1WUcLAJc160Ha0kM&s,Lucknow Super Giants ,Right hand Bat,Legbreak Googly,Bowler
Daniel Sams,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxIsBS0LEhtxM60No_hMeNoBxnXUAuLIZ_atOiOg55wA5yQNBQdwIyVYUZAi4&s,Lucknow Super Giants ,Right hand Bat,Left arm Fast medium,Allrounder
Karan Sharma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjC8BYZtf-9a2F_uLBfYiNa2SAn6cO5xB9zDX3TmK5PyChopsC4bek89n0UPQ&s,Lucknow Super Giants ,Right hand Bat,Right arm Offbreak,Allrounder
Romario Shepherd,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrzJbPQ3VK4oYltB5jMEgHFF4h5SyRUTWFWBLHW4gX8HbFMtY85x7nPd1dDQ&s,Lucknow Super Giants ,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Marcus Stoinis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDnpeN0nWGDxNFiVd_Ap6W6zSGtIHDiKe0Kuv_gmC2cQsnl1Ehrkb7EERmUg&s,Lucknow Super Giants ,Right hand Bat,Right arm Medium,Batting Allrounder
Swapnil Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkJEFOs4ClDlCAdkTwFLiHbycFpdTfgtDWj0E9kMZv939RESE3m__3Ps72Trc&s,Lucknow Super Giants ,Right hand Bat,Slow Left arm Orthodox,Bowler
Jaydev Unadkat,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnbkh9fqZryAvr9QNGT4UuwMOmSNKbmjuvoPA2y4x6mVJ27LC1c3oi4n_24fQ&s,Lucknow Super Giants ,Right hand Bat,Left arm Medium,Bowler
Manan Vohra,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTT7y1wtpvohYpRrDqfDQUX4VOBWg3ehOzgrfS2iPKXWyOxiriF9RHH_p_N5n8&s,Lucknow Super Giants ,Right hand Bat,Right arm Medium,Opening Batter
Mark Wood,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_ZpsPZRxW2Yum1Y2gmZoJGQOoKXnAxKF5Q_mh1k7t2P8IrqJiOD8EAQ4I8ok&s,Lucknow Super Giants ,Right hand Bat,Right arm Fast,Bowler
Yash Thakur,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMKRvJR25CaQgRL77YqMv_i4fCrzBJ6vnq1GBu5nubM_DyPv3v32rv22xKsw&s,Lucknow Super Giants ,Right hand Bat,Right arm Fast medium,Bowler
Yudhvir Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTFa_HRAYJza1AKwOsC4gb8JnLvmPmaIZ_CbgukdJAyEJD0Q3cKYcIUkscRA&s,Lucknow Super Giants ,Right hand Bat,Right arm Medium fast,Bowler
KL Rahul,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQa7FSsI_yTNm34WqsH69NxvOUdx0FHpfZUnPirb2tkSYmnW11LV0fQSu_w6A&s,Lucknow Super Giants ,Right hand Bat,ithdrawn on 5th May,Wicketkeeper Batter
